Begravelsespolka						Funeral polka

All rise! Ja det er meg. Thank you, thank y....			All rise! Yes, it is me. Thank you, thank y...
Jo det er meg.							Oh yes, it is me.
Det er ikkje lenger snakk om å tru				It's no longer a question of faith
Det er nok heller tid for å innsjå et par ting			Instead, it's probably time to realize a few things
Ta for eksempel for 14 år si, då du blei født			For example, 14 years ago, when you were born
Kem trur du var der? Eg seier ikkje meir			Who do you think was there? That's all I'm going to say
Det er bare i begynnelsen og slutten av ditt liv		Only at the beginning and the end of your life
at eg glimrer med mitt nærvær, yes Sir				I am notably present, yes Sir
 	 
Så koffor trur du at eg er her? For å bli underholdt? Nei.	So why do you think I'm here? To be entertained? No.
For å bli forstått? Ja.						To be understood? Yes.
Du må ta meg på mitt ord.					You must take me at my word.
Det er ikkje din fars bror du skal vær redd			It's not your father's brother you should be scared of
Tvert imot det er di mor. Oooh					On the contrary, it's your mother. Oooh
For det er ikkje din drøm du lever				Because you are not living your own dream
Og ditt mareritt, det er ikkje ditt, det er di mor sitt		And your nightmare, it's not yours, it's your mother's
Ja det er på meg du skal dra kjensel				Yes, I'm the one you should recognize
når eg stryker deg ut med min pensel				when I erase you with my brush
 	 
Denne polka, det er denne du blei folk av			This polka is what taught you how to be
Hu du blei født av, gav deg gleden og smerten i ditt liv	Who gave birth to you, gave you joy and pain in your life
Denne polka, denne får du aldri nok av				This polka, you will never get enough of it
Av denne sangen er du kommet					You came from this song
til denne sangen skal du bli					you will become this song
 	 
Nei, nok om meg. La oss snakke litt om deg			No, enough about me. Let's talk about you
Kva syns du om meg?						What do you think about me?
For det er ikkje sikkert du har tenkt på meg			You might not have thought of me
like ofte som eg har tenkt på deg				as often as I have thought of you
Har du tenkt på det?						Have you thought about that?
Bare tenk så mange gonger eg har sett det for meg		Just think how many times I've imagined that
visualisert og regisert din siste time				visualized and directed your last hour
Nei, eg kan ikkje noe for det					No, I cannot help it
Det er min natur						It's my nature
Eg legger mi sjel i det						I put my soul into it
 	 
Både du og meg har sett koss din vei blir lagt ner		Both you and I have seen how your path has been laid out
Kva har mor di sin fing med dette her å gjer?			How does your mother have a finger in the pie here?
Eg bestemmer tid og sted og lukt og fargespel			I decide on the time and place and smell and color scheme
på alle som eg har sverga at det kunne bli folk av		for all for which I have sworn that they could turn out right

